company,environment_rating,environment_percentage,Country,Sales,Profits,Assets,Market Value,posts_per_year,is_video_x,is_sponsored_x,caption,video_view_count,video_length_x,likes_x,comments_x,caption_num_words_x,caption_unique_words_x,mention_counts_x,hashtag_counts_x,emoji_counts_x,mentions_eco,mentions_eco-friendly,mentions_green,mentions_organic,mentions_clean,mentions_sustainable,mentions_sustainability,mentions_carbon,mentions_emissions,hashtags_eco,hashtags_eco-friendly,hashtags_green,hashtags_organic,hashtags_clean,hashtags_sustainable,hashtags_sustainability,hashtags_carbon,hashtags_emissions,caption_eco,caption_eco-friendly,caption_green,caption_organic,caption_clean,caption_sustainable,caption_sustainability,caption_carbon,caption_emissions,likely_automated,has_location,is_video_0,is_video_1,is_sponsored_0,is_sponsored_1,video_length_0,video_length_1,likes_0,likes_1,comments_0,comments_1,caption_num_words_0,caption_num_words_1,caption_unique_words_0,caption_unique_words_1,mention_counts_0,mention_counts_1,hashtag_counts_0,hashtag_counts_1,emoji_counts_0,emoji_counts_1,is_video_y,is_video_y,is_sponsored_y,is_sponsored_y,video_length_y,video_length_y,likes_y,likes_y,comments_y,comments_y,caption_num_words_y,caption_num_words_y,caption_unique_words_y,caption_unique_words_y,mention_counts_y,mention_counts_y,hashtag_counts_y,hashtag_counts_y,emoji_counts_y,emoji_counts_y,is_video_green_diff,is_sponsored_green_diff,video_length_green_diff,likes_green_diff,comments_green_diff,caption_num_words_green_diff,caption_unique_words_green_diff,mention_counts_green_diff,hashtag_counts_green_diff,emoji_counts_green_diff,posts_per_day,captions_per_year
AES,61.0,74.0,United States,101.9,3.02,336.48,88.08,130,0.1,0.0,130,83477.7076923077,4.688938461538462,329787.4923076923,2805.6923076923076,7.976923076923077,7.953846153846154,1.0,6.292307692307692,0.5692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.1015625,0.0,0.0,0.0,4.762203125,0.0,331234.6328125,237170.5,2844.46875,324.0,7.9921875,7.0,7.96875,7.0,1.0,1.0,6.3046875,5.5,0.5703125,0.5,0.1015625,0.0,0.0,0.0,4.762203125,0.0,331234.6328125,237170.5,2844.46875,324.0,7.9921875,7.0,7.96875,7.0,1.0,1.0,6.3046875,5.5,0.5703125,0.5,-0.1015625,0.0,-4.762203125,-94064.1328125,-2520.46875,-0.9921875,-0.96875,0.0,-0.8046875,-0.0703125,0.3834808259587021,1.0
AIRBUS,72.0,94.0,Netherlands,761.71,-20.92,1284.24,495.95,49,0.3673469387755102,0.0,49,62793.87755102041,32.187612244897956,45367.30612244898,248.81632653061226,50.36734693877551,45.142857142857146,1.1428571428571428,10.36734693877551,1.836734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.08163265306122448,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.02040816326530612,0.04081632653061224,0.38095238095238093,0.2857142857142857,0.0,0.0,34.89666666666666,15.933285714285715,45515.5,44478.142857142855,245.23809523809524,270.2857142857143,47.61904761904762,66.85714285714286,42.976190476190474,58.142857142857146,1.119047619047619,1.2857142857142858,9.619047619047619,14.857142857142858,1.7619047619047619,2.2857142857142856,0.38095238095238093,0.2857142857142857,0.0,0.0,34.89666666666666,15.933285714285715,45515.5,44478.142857142855,245.23809523809524,270.2857142857143,47.61904761904762,66.85714285714286,42.976190476190474,58.142857142857146,1.119047619047619,1.2857142857142858,9.619047619047619,14.857142857142858,1.7619047619047619,2.2857142857142856,-0.09523809523809523,0.0,-18.963380952380945,-1037.357142857145,25.047619047619037,19.23809523809524,15.166666666666671,0.16666666666666674,5.238095238095239,0.5238095238095237,0.14454277286135694,1.0
ALFA,55.0,58.0,Mexico,171.81,4.121,181.94,20.54,255,0.4823529411764706,0.0,252,362683.7254901961,24.825172549019598,179384.9176470588,16756.074509803922,21.662745098039217,19.16078431372549,1.603921568627451,1.4431372549019608,1.9365079365079365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.011764705882352941,0.050980392156862744,0.4859437751004016,0.3333333333333333,0.0,0.0,25.020558232931716,16.716666666666665,179556.1686746988,172278.0,17101.321285140562,2428.3333333333335,21.19277108433735,41.166666666666664,18.815261044176708,33.5,1.6144578313253013,1.1666666666666667,1.4216867469879517,2.3333333333333335,1.9471544715447155,1.5,0.4859437751004016,0.3333333333333333,0.0,0.0,25.020558232931716,16.716666666666665,179556.1686746988,172278.0,17101.321285140562,2428.3333333333335,21.19277108433735,41.166666666666664,18.815261044176708,33.5,1.6144578313253013,1.1666666666666667,1.4216867469879517,2.3333333333333335,1.9471544715447155,1.5,-0.15261044176706828,0.0,-8.303891566265051,-7278.168674698798,-14672.987951807228,19.973895582329316,14.684738955823292,-0.44779116465863456,0.9116465863453818,-0.44715447154471555,0.7522123893805309,0.9882352941176471
AT&T,72.0,93.0,United States,1792.17,144.17,5453.54,2185.58,537,0.41899441340782123,0.0,536,9830.061452513966,19.53834450651767,951.342644320298,114.87523277467412,37.21787709497207,32.910614525139664,1.266294227188082,1.5810055865921788,0.7350746268656716,0.0074487895716946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00186219739292365,0.0,0.0,0.0,0.0,0.04477611940298507,0.0,0.005597014925373134,0.0,0.0,0.0018656716417910447,0.0,0.0,0.0,0.03165735567970205,0.0037243947858473,0.42857142857142855,0.3,0.0,0.0,20.17769617706236,11.5944,983.8792756539235,547.075,118.6841046277666,67.55,37.03420523138833,39.5,32.77062374245473,34.65,1.2736418511066399,1.175,1.591549295774648,1.45,0.7419354838709677,0.65,0.42857142857142855,0.3,0.0,0.0,20.17769617706236,11.5944,983.8792756539235,547.075,118.6841046277666,67.55,37.03420523138833,39.5,32.77062374245473,34.65,1.2736418511066399,1.175,1.591549295774648,1.45,0.7419354838709677,0.65,-0.12857142857142856,0.0,-8.583296177062358,-436.80427565392347,-51.134104627766604,2.465794768611673,1.8793762575452675,-0.09864185110663981,-0.14154929577464803,-0.09193548387096773,1.584070796460177,0.9981378026070763
AbbVie,68.0,88.0,United States,332.66,78.39,891.15,1213.82,78,0.358974358974359,0.0,78,640.7564102564103,9.005923076923079,328.03846153846155,7.0,38.56410256410256,34.256410256410255,0.3974358974358974,3.871794871794872,0.21794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235294117647056,0.2,0.0,0.0,9.947970588235293,2.6,330.4117647058824,311.9,7.176470588235294,5.8,38.19117647058823,41.1,34.13235294117647,35.1,0.39705882352941174,0.4,3.8676470588235294,3.9,0.20588235294117646,0.3,0.38235294117647056,0.2,0.0,0.0,9.947970588235293,2.6,330.4117647058824,311.9,7.176470588235294,5.8,38.19117647058823,41.1,34.13235294117647,35.1,0.39705882352941174,0.4,3.8676470588235294,3.9,0.20588235294117646,0.3,-0.18235294117647055,0.0,-7.3479705882352935,-18.5117647058824,-1.3764705882352946,2.9088235294117695,0.9676470588235304,0.0029411764705882804,0.03235294117647047,0.09411764705882353,0.23008849557522124,1.0
Accenture,76.0,97.0,Ireland,446.56,49.717,335.03,1179.71,87,0.12643678160919541,0.0,87,1622.5632183908046,2.7519540229885058,3149.287356321839,28.71264367816092,52.701149425287355,39.0919540229885,0.2413793103448276,1.9080459770114941,1.471264367816092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09195402298850575,0.0,0.05747126436781609,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.022988505747126436,0.14285714285714285,0.0,0.0,0.0,3.1093506493506493,0.0,3270.935064935065,2212.6,30.2987012987013,16.5,41.27272727272727,140.7,32.142857142857146,92.6,0.2597402597402597,0.1,1.87012987012987,2.2,1.4675324675324675,1.5,0.14285714285714285,0.0,0.0,0.0,3.1093506493506493,0.0,3270.935064935065,2212.6,30.2987012987013,16.5,41.27272727272727,140.7,32.142857142857146,92.6,0.2597402597402597,0.1,1.87012987012987,2.2,1.4675324675324675,1.5,-0.14285714285714285,0.0,-3.1093506493506493,-1058.335064935065,-13.7987012987013,99.42727272727271,60.45714285714285,-0.1597402597402597,0.3298701298701301,0.032467532467532534,0.25663716814159293,1.0
Adidas,79.0,99.0,Germany,250.09,15.287,228.03,449.04,65,0.6153846153846154,0.0,65,204661.76923076922,88.79756923076927,84621.81538461539,799.3384615384615,39.61538461538461,34.184615384615384,1.2769230769230768,0.8769230769230769,0.5538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.26153846153846155,0.65,0.2,0.0,0.0,95.36415000000004,9.9986,84361.03333333334,87751.2,794.9666666666667,851.8,37.78333333333333,61.6,32.81666666666667,50.6,1.2333333333333334,1.8,0.8666666666666667,1.0,0.5666666666666667,0.4,0.65,0.2,0.0,0.0,95.36415000000004,9.9986,84361.03333333334,87751.2,794.9666666666667,851.8,37.78333333333333,61.6,32.81666666666667,50.6,1.2333333333333334,1.8,0.8666666666666667,1.0,0.5666666666666667,0.4,-0.45,0.0,-85.36555000000004,3390.166666666657,56.83333333333326,23.81666666666667,17.78333333333333,0.5666666666666667,0.1333333333333333,-0.16666666666666663,0.19174041297935104,1.0
Adobe,72.0,94.0,United States,116.23,32.322,212.14,1703.84,167,0.2634730538922156,0.0,166,13235.077844311378,7.958449101796405,5589.209580838324,57.68862275449102,40.02395209580838,33.622754491017965,1.4910179640718564,0.3772455089820359,0.8554216867469879,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060240963855421686,0.0,0.0,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.017964071856287425,0.011976047904191617,0.2709677419354839,0.16666666666666666,0.0,0.0,8.330070967741934,3.158333333333333,5613.477419354838,5275.75,57.23225806451613,63.583333333333336,38.33548387096774,61.833333333333336,32.39354838709677,49.5,1.4709677419354839,1.75,0.3548387096774194,0.6666666666666666,0.8831168831168831,0.5,0.2709677419354839,0.16666666666666666,0.0,0.0,8.330070967741934,3.158333333333333,5613.477419354838,5275.75,57.23225806451613,63.583333333333336,38.33548387096774,61.833333333333336,32.39354838709677,49.5,1.4709677419354839,1.75,0.3548387096774194,0.6666666666666666,0.8831168831168831,0.5,-0.10430107526881724,0.0,-5.171737634408601,-337.7274193548383,6.351075268817205,23.497849462365593,17.10645161290323,0.27903225806451615,0.31182795698924726,-0.3831168831168831,0.49262536873156343,0.9940119760479041
Aegon,69.0,90.0,Netherlands,295.07,13.867,4709.03,52.83,52,0.057692307692307696,0.0,52,44.34615384615385,0.3403846153846154,80.84615384615384,1.0384615384615385,44.44230769230769,38.05769230769231,1.0,4.326923076923077,1.3461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.019230769230769232,0.07692307692307693,0.045454545454545456,0.125,0.0,0.0,0.2659090909090909,0.75,79.22727272727273,89.75,0.9772727272727273,1.375,42.97727272727273,52.5,36.81818181818182,44.875,1.0,1.0,4.204545454545454,5.0,1.3409090909090908,1.375,0.045454545454545456,0.125,0.0,0.0,0.2659090909090909,0.75,79.22727272727273,89.75,0.9772727272727273,1.375,42.97727272727273,52.5,36.81818181818182,44.875,1.0,1.0,4.204545454545454,5.0,1.3409090909090908,1.375,0.07954545454545454,0.0,0.4840909090909091,10.522727272727266,0.3977272727272727,9.522727272727273,8.05681818181818,0.0,0.7954545454545459,0.03409090909090917,0.15339233038348082,1.0
Aflac,67.0,85.0,United States,219.95,29.41,1516.16,269.06,25,0.04,0.0,25,144.56,0.22664,224.6,23.88,13.52,13.08,1.0,1.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,0.0,,0.22664,,224.6,,23.88,,13.52,,13.08,,1.0,,1.0,,0.16,,0.04,,0.0,,0.22664,,224.6,,23.88,,13.52,,13.08,,1.0,,1.0,,0.16,,,,,,,,,,,,0.07374631268436578,1.0
