company,environment_rating,environment_percentage,Country,Sales,Profits,Assets,Market Value,posts_per_year,is_video_x,is_sponsored_x,caption,video_view_count,video_length_x,likes_x,comments_x,caption_num_words_x,caption_unique_words_x,mention_counts_x,hashtag_counts_x,emoji_counts_x,mentions_eco,mentions_eco-friendly,mentions_green,mentions_organic,mentions_clean,mentions_sustainable,mentions_sustainability,mentions_carbon,mentions_emissions,hashtags_eco,hashtags_eco-friendly,hashtags_green,hashtags_organic,hashtags_clean,hashtags_sustainable,hashtags_sustainability,hashtags_carbon,hashtags_emissions,caption_eco,caption_eco-friendly,caption_green,caption_organic,caption_clean,caption_sustainable,caption_sustainability,caption_carbon,caption_emissions,likely_automated,has_location,is_video_0,is_video_1,is_sponsored_0,is_sponsored_1,video_length_0,video_length_1,likes_0,likes_1,comments_0,comments_1,caption_num_words_0,caption_num_words_1,caption_unique_words_0,caption_unique_words_1,mention_counts_0,mention_counts_1,hashtag_counts_0,hashtag_counts_1,emoji_counts_0,emoji_counts_1,is_video_y,is_video_y,is_sponsored_y,is_sponsored_y,video_length_y,video_length_y,likes_y,likes_y,comments_y,comments_y,caption_num_words_y,caption_num_words_y,caption_unique_words_y,caption_unique_words_y,mention_counts_y,mention_counts_y,hashtag_counts_y,hashtag_counts_y,emoji_counts_y,emoji_counts_y,is_video_green_diff,is_sponsored_green_diff,video_length_green_diff,likes_green_diff,comments_green_diff,caption_num_words_green_diff,caption_unique_words_green_diff,mention_counts_green_diff,hashtag_counts_green_diff,emoji_counts_green_diff,posts_per_day,captions_per_year
Air Canada,55.0,58.0,Canada,144.64,11.124,214.07,38.02,186,0.16666666666666666,0.0,186,3626.8870967741937,8.799317204301076,8305.698924731183,134.0752688172043,76.20967741935483,63.82258064516129,1.8225806451612903,1.7580645161290323,2.2311827956989245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06989247311827956,0.0,0.005376344086021506,0.0,0.016129032258064516,0.010752688172043012,0.0,0.0,0.0,0.005376344086021506,0.23655913978494625,0.1588235294117647,0.25,0.0,0.0,7.864235294117647,18.7345625,8267.558823529413,8710.9375,132.21176470588236,153.875,75.17647058823529,87.1875,62.90588235294118,73.5625,1.7941176470588236,2.125,1.7823529411764707,1.5,2.3117647058823527,1.375,0.1588235294117647,0.25,0.0,0.0,7.864235294117647,18.7345625,8267.558823529413,8710.9375,132.21176470588236,153.875,75.17647058823529,87.1875,62.90588235294118,73.5625,1.7941176470588236,2.125,1.7823529411764707,1.5,2.3117647058823527,1.375,0.0911764705882353,0.0,10.87032720588235,443.3786764705874,21.66323529411764,12.01102941176471,10.656617647058823,0.3308823529411764,-0.2823529411764707,-0.9367647058823527,0.5486725663716814,1.0
Akbank,51.0,49.0,Turkey,82.53,11.703,666.93,43.82,116,0.603448275862069,0.0,113,40717.06896551724,18.546939655172412,1423.0344827586207,50.077586206896555,25.68103448275862,23.637931034482758,1.0775862068965518,1.1120689655172413,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.6052631578947368,0.5,0.0,0.0,18.740921052631577,7.49,1434.298245614035,781.0,50.48245614035088,27.0,26.00877192982456,7.0,23.93859649122807,6.5,1.0789473684210527,1.0,1.1140350877192982,1.0,0.017857142857142856,0.0,0.6052631578947368,0.5,0.0,0.0,18.740921052631577,7.49,1434.298245614035,781.0,50.48245614035088,27.0,26.00877192982456,7.0,23.93859649122807,6.5,1.0789473684210527,1.0,1.1140350877192982,1.0,0.017857142857142856,0.0,-0.10526315789473684,0.0,-11.250921052631577,-653.2982456140351,-23.482456140350877,-19.00877192982456,-17.43859649122807,-0.07894736842105265,-0.11403508771929816,-0.017857142857142856,0.3421828908554572,0.9741379310344828
Al Rajhi Bank,53.0,53.0,Saudi Arabia,53.38,27.855,1023.88,380.83,13,0.0,0.0,13,0.0,0.0,187.76923076923077,46.30769230769231,17.0,16.384615384615383,1.0,1.0769230769230769,2.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,187.76923076923077,,46.30769230769231,,17.0,,16.384615384615383,,1.0,,1.0769230769230769,,2.076923076923077,,0.0,,0.0,,0.0,,187.76923076923077,,46.30769230769231,,17.0,,16.384615384615383,,1.0,,1.0769230769230769,,2.076923076923077,,,,,,,,,,,,0.038348082595870206,1.0
All Nippon Airways,68.0,87.0,Japan,181.58,2.544,237.15,71.98,5,0.0,0.0,5,0.0,0.0,7096.2,46.6,9.0,8.4,1.0,1.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,,0.0,,0.0,,7096.2,,46.6,,9.0,,8.4,,1.0,,1.8,,1.4,,0.0,,0.0,,0.0,,7096.2,,46.6,,9.0,,8.4,,1.0,,1.8,,1.4,,,,,,,,,,,,0.014749262536873156,1.0
Allergan,61.0,74.0,Ireland,160.89,-52.71,946.99,616.35,41,0.21951219512195122,0.0,41,435.4878048780488,4.778073170731708,300.5853658536585,5.682926829268292,26.097560975609756,23.70731707317073,0.2682926829268293,0.4146341463414634,0.4146341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21951219512195122,,0.0,,4.778073170731708,,300.5853658536585,,5.682926829268292,,26.097560975609756,,23.70731707317073,,0.2682926829268293,,0.4146341463414634,,0.4146341463414634,,0.21951219512195122,,0.0,,4.778073170731708,,300.5853658536585,,5.682926829268292,,26.097560975609756,,23.70731707317073,,0.2682926829268293,,0.4146341463414634,,0.4146341463414634,,,,,,,,,,,,0.12094395280235988,1.0
Allianz,76.0,98.0,Germany,1224.06,88.57700000000001,11835.32,770.56,70,0.4857142857142857,0.0,70,57954.02857142857,42.49001428571429,7739.385714285714,20.385714285714286,124.28571428571429,93.12857142857143,1.9428571428571428,4.3428571428571425,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.05714285714285714,0.0,0.0,0.17142857142857143,0.0,0.0,0.0,0.014285714285714285,0.05714285714285714,0.11428571428571428,0.0,0.0,0.02857142857142857,0.15714285714285714,0.5185185185185185,0.375,0.0,0.0,43.722907407407405,38.329,3425.759259259259,22297.875,21.11111111111111,17.9375,118.70370370370371,143.125,90.25925925925925,102.8125,1.7037037037037037,2.75,3.759259259259259,6.3125,2.814814814814815,3.0,0.5185185185185185,0.375,0.0,0.0,43.722907407407405,38.329,3425.759259259259,22297.875,21.11111111111111,17.9375,118.70370370370371,143.125,90.25925925925925,102.8125,1.7037037037037037,2.75,3.759259259259259,6.3125,2.814814814814815,3.0,-0.1435185185185185,0.0,-5.393907407407404,18872.11574074074,-3.1736111111111107,24.42129629629629,12.553240740740748,1.0462962962962963,2.553240740740741,0.18518518518518512,0.20648967551622419,1.0
Almarai,68.0,88.0,Saudi Arabia,39.02,4.955,87.11,130.76,258,0.3488372093023256,0.0,257,34488.59689922481,5.843748062015504,832.2790697674419,47.92248062015504,9.089147286821705,8.988372093023257,1.0,1.6085271317829457,0.2529182879377432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003875968992248062,0.0,0.35019455252918286,0.0,0.0,0.0,5.866486381322956,0.0,833.875486381323,422.0,48.011673151750976,25.0,9.120622568093385,1.0,9.019455252918288,1.0,1.0,1.0,1.6108949416342413,1.0,0.25,1.0,0.35019455252918286,0.0,0.0,0.0,5.866486381322956,0.0,833.875486381323,422.0,48.011673151750976,25.0,9.120622568093385,1.0,9.019455252918288,1.0,1.0,1.0,1.6108949416342413,1.0,0.25,1.0,-0.35019455252918286,0.0,-5.866486381322956,-411.87548638132296,-23.011673151750976,-8.120622568093385,-8.019455252918288,0.0,-0.6108949416342413,0.75,0.7610619469026548,0.9961240310077519
Altice USA,51.0,48.0,United States,98.15,1.631,349.89,155.4,32,0.375,0.0,32,155.875,31.507187499999993,55.5625,17.40625,45.5,37.78125,1.71875,1.15625,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,40.32919999999999,0.0,57.28,49.42857142857143,16.2,21.714285714285715,41.04,61.42857142857143,34.8,48.42857142857143,1.24,3.4285714285714284,1.2,1.0,0.44,1.1428571428571428,0.48,0.0,0.0,0.0,40.32919999999999,0.0,57.28,49.42857142857143,16.2,21.714285714285715,41.04,61.42857142857143,34.8,48.42857142857143,1.24,3.4285714285714284,1.2,1.0,0.44,1.1428571428571428,-0.48,0.0,-40.32919999999999,-7.8514285714285705,5.514285714285716,20.38857142857143,13.628571428571433,2.1885714285714286,-0.19999999999999996,0.7028571428571428,0.0943952802359882,1.0
American Express,71.0,93.0,United States,467.87,55.38,1860.6,734.54,170,0.5352941176470588,0.0,170,4294.976470588235,12.174347058823528,990.8529411764706,45.311764705882354,58.747058823529414,49.023529411764706,1.4823529411764707,1.3823529411764706,0.03529411764705882,0.023529411764705882,0.0,0.0,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.0,0.0,0.029411764705882353,0.041176470588235294,0.5133333333333333,0.7,0.0,0.0,11.29192,18.79255,1016.4066666666666,799.2,42.96666666666667,62.9,55.89333333333333,80.15,46.99333333333333,64.25,1.46,1.65,1.34,1.7,0.04,0.0,0.5133333333333333,0.7,0.0,0.0,11.29192,18.79255,1016.4066666666666,799.2,42.96666666666667,62.9,55.89333333333333,80.15,46.99333333333333,64.25,1.46,1.65,1.34,1.7,0.04,0.0,0.18666666666666665,0.0,7.500629999999999,-217.2066666666666,19.93333333333333,24.256666666666675,17.256666666666668,0.18999999999999995,0.3599999999999999,-0.04,0.5014749262536873,1.0
Anheuser-Busch InBev,51.0,49.0,Belgium,523.15,91.435,2382.79,898.79,135,0.7333333333333333,0.0,135,3190.525925925926,18.820125925925915,393.3851851851852,4.4148148148148145,52.074074074074076,43.57037037037037,1.1777777777777778,1.548148148148148,0.3037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.0,0.15555555555555556,0.007407407407407408,0.0,0.05185185185185185,0.0,0.1037037037037037,0.007407407407407408,0.037037037037037035,0.0,0.022222222222222223,0.037037037037037035,0.7352941176470589,0.7272727272727273,0.0,0.0,17.255343137254894,23.65672727272727,380.2450980392157,434.0,4.0,5.696969696969697,48.1078431372549,64.33333333333333,40.92156862745098,51.75757575757576,1.1470588235294117,1.2727272727272727,1.4019607843137254,2.0,0.3333333333333333,0.21212121212121213,0.7352941176470589,0.7272727272727273,0.0,0.0,17.255343137254894,23.65672727272727,380.2450980392157,434.0,4.0,5.696969696969697,48.1078431372549,64.33333333333333,40.92156862745098,51.75757575757576,1.1470588235294117,1.2727272727272727,1.4019607843137254,2.0,0.3333333333333333,0.21212121212121213,-0.008021390374331583,0.0,6.401384135472377,53.75490196078431,1.6969696969696972,16.225490196078425,10.836007130124777,0.12566844919786102,0.5980392156862746,-0.12121212121212119,0.39823008849557523,1.0
Apple,76.0,97.0,United States,2677.12,572.15,3204.0,12855.16,129,0.1937984496124031,0.0,129,214767.75968992247,17.054341085271318,301941.27131782944,2123.093023255814,50.14728682170543,41.992248062015506,1.62015503875969,1.7209302325581395,0.007751937984496124,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.5658914728682171,0.18487394957983194,0.3,0.0,0.0,17.290773109243695,14.240799999999998,303598.756302521,282217.2,2145.8991596638657,1851.7,47.89915966386555,76.9,40.39495798319328,61.0,1.6218487394957983,1.6,1.7142857142857142,1.8,0.008403361344537815,0.0,0.18487394957983194,0.3,0.0,0.0,17.290773109243695,14.240799999999998,303598.756302521,282217.2,2145.8991596638657,1851.7,47.89915966386555,76.9,40.39495798319328,61.0,1.6218487394957983,1.6,1.7142857142857142,1.8,0.008403361344537815,0.0,0.11512605042016805,0.0,-3.0499731092436964,-21381.55630252097,-294.19915966386566,29.00084033613446,20.60504201680672,-0.02184873949579824,0.08571428571428585,-0.008403361344537815,0.3805309734513274,1.0
Aptiv,75.0,97.0,Ireland,143.57,9.9,134.59,177.5,30,0.43333333333333335,0.0,30,803.5,45.0171,259.1666666666667,2.566666666666667,33.56666666666667,29.8,1.0,2.2333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.23333333333333334,0.38461538461538464,0.75,0.0,0.0,44.833615384615385,46.20975,268.11538461538464,201.0,2.576923076923077,2.5,33.84615384615385,31.75,29.884615384615383,29.25,1.0,1.0,2.269230769230769,2.0,0.19230769230769232,0.0,0.38461538461538464,0.75,0.0,0.0,44.833615384615385,46.20975,268.11538461538464,201.0,2.576923076923077,2.5,33.84615384615385,31.75,29.884615384615383,29.25,1.0,1.0,2.269230769230769,2.0,0.19230769230769232,0.0,0.36538461538461536,0.0,1.3761346153846148,-67.11538461538464,-0.0769230769230771,-2.0961538461538467,-0.6346153846153832,0.0,-0.26923076923076916,-0.19230769230769232,0.08849557522123894,1.0
