shortcode,username,date_utc,url_thumbnail,url_media,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHvWJiQgGyL,albertsons,11/18/2020 17:03,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/126162024_397696911415071_6535019817012074907_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=dlggvzj5et0AX_THge0&tp=1&oh=265c1b3a1116ed2a423fc35acbe0ba69&oe=5FE694BE,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/126162024_397696911415071_6535019817012074907_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=dlggvzj5et0AX_THge0&tp=1&oh=265c1b3a1116ed2a423fc35acbe0ba69&oe=5FE694BE,no,FALSE,debilillydesign,debililly,Decorating for the holidays? Look at this amazing @debililly tablescape - moving right from one holiday to the next with just a change in colors. :smiling_face_with_heart-eyes: #debilillydesign,0,0,77,4,81,,
,,,,,,,,,,,,,,,,
CHs7UrCgs2u,albertsons,11/17/2020 18:30,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/125341099_137139447750485_5172570818214599755_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=GTSi7jExP7EAX_M9C_P&tp=1&oh=13f382909316beebbd5d4b979681cbbc&oe=5FE7FA48,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/125341099_137139447750485_5172570818214599755_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=GTSi7jExP7EAX_M9C_P&tp=1&oh=13f382909316beebbd5d4b979681cbbc&oe=5FE7FA48,no,FALSE,,,We’re counting the days until Thanksgiving! Find the best deals and get your Thanksgiving shopping done early at your local store!,0,0,78,5,83,,
,,,,,,,,,,,,,,,,
CHqny14ALaO,albertsons,11/16/2020 21:01,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125371282_690609291637709_2854415824775284909_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=aYQ_OdhEP9YAX8D6MCo&tp=1&oh=8d29181434ccd90737a662c2046839cf&oe=5FE57FA5,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125371282_690609291637709_2854415824775284909_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=aYQ_OdhEP9YAX8D6MCo&tp=1&oh=8d29181434ccd90737a662c2046839cf&oe=5FE57FA5,no,FALSE,,lenaskitchenblog,Homemade candy is twice as good as store bought. These nut butter cups are easy and delicious –the recipe from @lenaskitchenblog is up on our story!,0,0,78,3,81,,
,,,,,,,,,,,,,,,,
CHnZkmQgARD,albertsons,11/15/2020 14:59,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125206385_789126438307150_922217675277138625_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=c2s1R1_yNBEAX_g3Pd9&tp=1&oh=44f54fc5c722c83527e09368c6a2ef35&oe=5FE7FF07,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125206385_789126438307150_922217675277138625_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=c2s1R1_yNBEAX_g3Pd9&tp=1&oh=44f54fc5c722c83527e09368c6a2ef35&oe=5FE7FF07,no,FALSE,americarecyclesday,,Happy #AmericaRecyclesDay! Recycling materials like paper or plastic gives them a second life when they are turned into new products. Join us in celebrating by recycling at home and buying products made with recycled content.,0,0,77,4,81,,
,,,,,,,,,,,,,,,,
CHktzKJAEaF,albertsons,11/14/2020 13:58,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125217839_402665551111963_3747766179687338578_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=Yw6naK-wEgkAX-hFJn5&tp=1&oh=5473007ab8c38914a9bb761ed80260b3&oe=5FE600D1,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125217839_402665551111963_3747766179687338578_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=Yw6naK-wEgkAX-hFJn5&tp=1&oh=5473007ab8c38914a9bb761ed80260b3&oe=5FE600D1,no,FALSE,diwali2020,,Today marks the first day of Diwali! The five-day Festival of Lights originates in India but is celebrated by people all over the world. Are you celebrating? #Diwali2020,0,0,81,2,83,,
,,,,,,,,,,,,,,,,
