,company,overall_rating,community_rating,employee_rating,environment_rating,governance_rating,overall_percentage,community_percentage,employee_percentage,environment_percentage,governance_percentage
Comcast Corporation,Comcast Corporation,56,54,53,65,50,74,60,64,82,48
Commerzbank AG,Commerzbank AG,64,68,60,72,53,96,94,83,94,64
Commonwealth Bank of Australia,Commonwealth Bank of Australia,60,61,55,70,52,88,82,70,91,62
Compagnie Financiere Richemont SA,Compagnie Financiere Richemont SA,62,65,55,73,54,94,90,71,95,70
"ConAgra Foods, Inc.","ConAgra Foods, Inc.",59,57,55,64,59,85,72,71,79,86
Conair,Conair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ConocoPhillips,ConocoPhillips,59,57,59,59,59,84,72,81,70,86
CONTINENTAL AG,CONTINENTAL AG,59,63,56,66,50,85,87,74,85,48
"Copart, Inc.","Copart, Inc.",45,45,39,47,49,21,34,14,37,40
CORONA CORPORATION,CORONA CORPORATION,NA,45,52,22,30,NA,34,60,34,14
Corp. Mapfre 'R',Corp. Mapfre 'R',64,65,63,73,55,97,91,88,95,77
Corteva Agriscience,Corteva Agriscience,51,53,48,57,47,53,57,45,63,30
Costco Wholesale Corporation,Costco Wholesale Corporation,53,51,48,62,50,61,49,45,77,44
Credit Agricole SA,Credit Agricole SA,61,67,61,69,48,92,93,85,89,34
Credit Mutuel,Credit Mutuel,NA,71,79,61,53,NA,96,99,73,66
CRH PLC,CRH PLC,65,67,60,73,57,97,93,82,95,81
Criteria CaixaCorp S.A.,Criteria CaixaCorp S.A.,67,70,62,76,58,99,96,87,98,84
CSL Limited,CSL Limited,63,67,58,68,58,95,93,78,88,85
Ctrip.com International Ltd. (ADS),Ctrip.com International Ltd. (ADS),41,42,35,47,37,27,37,10,27,22
"Cummins, Inc.","Cummins, Inc.",63,62,62,71,56,95,85,86,92,80
CVS Caremark Corporation,CVS Caremark Corporation,59,55,55,71,54,86,66,70,92,73
"D.R. Horton, Inc.","D.R. Horton, Inc.",49,51,48,46,51,38,52,47,33,51
Daimler AG,Daimler AG,61,66,63,65,51,91,91,88,83,51
Danske Bank A/S,Danske Bank A/S,59,59,57,69,51,86,78,75,90,51
DASSAULT AVIATION S.A.,DASSAULT AVIATION S.A.,55,59,51,61,48,70,76,59,74,34
Dassault Systemes,Dassault Systemes,62,63,58,71,54,93,86,79,93,71
DCC PLC,DCC PLC,56,58,48,63,52,73,74,48,79,60
Dell Technologies Inc,Dell Technologies Inc,63,63,60,73,54,95,87,82,95,70
Deloitte,Deloitte,67,68,76,64,63,99,94,98,79,91
"Delta AirLines, Inc.","Delta AirLines, Inc.",52,54,55,52,48,56,61,72,50,35
DENTSU INCORPORATED,DENTSU INCORPORATED,60,61,52,73,51,88,82,60,95,53
Deutsche Bank AG,Deutsche Bank AG,59,60,58,66,49,83,81,80,84,42
Deutsche Post AG,Deutsche Post AG,63,67,60,72,53,96,93,83,93,66
Deutsche Telekom AG,Deutsche Telekom AG,58,59,55,67,50,82,76,72,85,48
"DexCom, Inc.","DexCom, Inc.",51,55,50,47,53,50,63,55,36,64
Diageo,Diageo,68,73,65,77,56,99,97,90,98,79
"Dick's Sporting Goods, Inc.","Dick's Sporting Goods, Inc.",48,50,48,44,52,35,48,48,30,62
"Dillard's, Inc.","Dillard's, Inc.",51,54,48,50,52,50,61,47,44,62
DISH Network Corporation,DISH Network Corporation,48,50,48,49,47,36,46,47,41,30
Doctor's Associates Inc (Subway Restaurants),Doctor's Associates Inc (Subway Restaurants),NA,55,52,45,49,NA,63,60,31,40
DocuSign Inc,DocuSign Inc,48,51,44,46,50,32,49,30,33,44
"Dole Food Co., Inc.","Dole Food Co., Inc.",NA,48,69,NA,58,NA,41,94,NA,84
"Dollar Tree Stores, Inc.","Dollar Tree Stores, Inc.",47,51,43,48,45,27,52,28,39,26
"Dominion Resources, Inc.","Dominion Resources, Inc.",60,63,58,63,57,89,86,80,78,82
Domino's Pizza LLC,Domino's Pizza LLC,51,52,50,46,56,49,54,53,33,80
Doosan Corporation,Doosan Corporation,62,61,64,64,57,92,81,89,81,83
Dover Corporation,Dover Corporation,53,53,47,58,51,58,57,41,66,53
DP World Limited,DP World Limited,51,48,44,59,50,49,42,29,68,46
Dr Pepper Snapple Group,Dr Pepper Snapple Group,64,66,57,70,61,96,92,77,90,88
DTE Energy Company,DTE Energy Company,57,56,56,60,55,78,68,74,70,77
Duke Energy Corporation,Duke Energy Corporation,57,55,56,58,57,77,64,74,66,81
Dunkin' Brands Group,Dunkin' Brands Group,58,54,53,66,56,81,62,65,84,80
E*TRADE Financial Corp.,E*TRADE Financial Corp.,50,53,52,46,51,46,57,61,33,53
eBay Inc.,eBay Inc.,59,54,53,69,56,84,61,65,89,79
EDF,EDF,62,64,57,72,52,92,89,76,93,58
Eiffage,Eiffage,63,67,58,71,53,94,93,80,92,64
"El Corte Ingles, S.A.","El Corte Ingles, S.A.",NA,54,55,NA,52,NA,61,72,NA,60
Electronic Arts Inc.,Electronic Arts Inc.,56,57,54,59,53,74,72,68,68,64
EMAAR PROPERTIES PJSC,EMAAR PROPERTIES PJSC,48,48,41,49,54,34,40,19,43,73
"E-MART CO.,LTD","E-MART CO.,LTD",51,50,48,56,49,50,48,45,60,42
Emera Inc,Emera Inc,55,55,49,62,52,69,63,49,76,62
Emirates National Oil Company,Emirates National Oil Company,NA,NA,65,NA,46,NA,NA,90,NA,27
EMIRATES NBD PJSC,EMIRATES NBD PJSC,59,62,55,68,50,85,84,71,87,46
Emirates Telecommunications Corporation,Emirates Telecommunications Corporation,58,60,55,61,54,81,81,71,74,70
Empire Bancorp Inc,Empire Bancorp Inc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENGIE,ENGIE,60,59,60,64,55,87,78,82,79,75
ENI - ENTE NAZIONALE IDROCARBURI,ENI - ENTE NAZIONALE IDROCARBURI,54,54,57,55,51,66,60,77,58,51
Enterprise Rent-A-Car Company,Enterprise Rent-A-Car Company,64,56,75,58,66,96,68,97,66,94
EQUINOR ASA,EQUINOR ASA,57,54,60,63,50,78,62,82,77,46
ESPN,ESPN,NA,37,61,NA,56,NA,18,85,NA,79
Estee Lauder Inc.,Estee Lauder Inc.,62,60,56,75,53,92,80,73,96,66
Clinique VI,Clinique VI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eversource Energy,Eversource Energy,56,54,64,51,51,63,51,51,49,51
Evonik Industries AG,Evonik Industries AG,56,54,64,51,51,63,51,51,49,51
"Experian Group, Ltd","Experian Group, Ltd",62,60,61,70,55,93,79,85,91,75
"Express Scripts, Inc.","Express Scripts, Inc.",52,43,53,55,57,57,30,64,57,82
Extra Space,Extra Space,48,46,45,53,46,32,35,36,53,27
Exxon Mobil Corporation,Exxon Mobil Corporation,49,44,52,47,53,39,31,61,36,66
F.N.B. Corporation,F.N.B. Corporation,52,51,49,48,59,54,50,52,38,87
Facebook,Facebook,55,50,53,65,49,69,48,64,82,38
"Fast Retailing Co, Ltd","Fast Retailing Co, Ltd",60,63,54,68,52,87,86,67,87,58
Fastighets AB Balder,Fastighets AB Balder,42,37,42,50,38,12,19,22,44,11
FedEx Corporation,FedEx Corporation,59,58,52,66,57,84,73,63,84,82
Ferguson PLC,Ferguson PLC,58,56,51,67,54,80,68,59,87,71
Ferrari SpA,Ferrari SpA,56,60,50,64,47,73,79,55,80,31
Ferrovial S.A.,Ferrovial S.A.,67,73,62,79,53,99,97,86,99,66
Fidelity Investments,Fidelity Investments,NA,70,77,NA,62,NA,95,98,NA,90
Fifth Third Bank,Fifth Third Bank,58,55,54,65,57,82,64,67,82,82
First Republic Bank,First Republic Bank,50,54,47,49,51,46,60,41,42,51
FLEX FOODS LIMITED,FLEX FOODS LIMITED,NA,50,68,67,51,NA,47,93,87,51
"Foot Locker, Inc.","Foot Locker, Inc.",51,53,49,47,55,49,56,49,36,75
Ford Motor Company,Ford Motor Company,59,58,56,65,55,84,73,73,82,76
Forever 21 Inc,Forever 21 Inc,NA,33,41,NA,39,NA,12,20,NA,12
Fortum OYJ,Fortum OYJ,63,67,60,68,57,95,93,84,88,83
Freddie Mac,Freddie Mac,48,50,66,25,57,35,46,92,81,46
GameStop Corp.,GameStop Corp.,53,55,51,57,49,61,63,58,63,38
Gap Inc.,Gap Inc.,63,65,59,70,56,94,91,80,91,80
Garmin International Inc.,Garmin International Inc.,49,51,45,49,50,38,50,33,43,48
Gazprom,Gazprom,57,59,50,65,54,80,77,54,82,73
GEBERIT AG,GEBERIT AG,67,72,59,77,59,99,97,80,98,86
GEICO,GEICO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
General Electric Company,General Electric Company,58,59,54,66,53,83,76,68,84,66
"General Mills, Inc.","General Mills, Inc.",64,64,63,71,57,97,88,87,92,82
General Motors Corporation (GM),General Motors Corporation (GM),62,61,59,67,59,92,83,80,85,86
Genting Bhd,Genting Bhd,58,61,58,60,54,83,81,78,70,73
Globe Life Inc,Globe Life Inc,50,52,46,50,53,46,53,40,46,68
"Google, Inc.","Google, Inc.",60,57,56,76,49,89,70,74,97,42
Gree Inc,Gree Inc,38,41,34,42,35,26,26,26,30,46
Groupe SEB,Groupe SEB,64,69,64,69,53,96,95,89,89,68
"Grupo Bimbo, S.A. de C.V.","Grupo Bimbo, S.A. de C.V.",59,65,51,66,53,85,90,58,84,66
"Grupo Financiero Banorte, S.A. de C.V.","Grupo Financiero Banorte, S.A. de C.V.",62,67,55,72,53,93,93,70,94,64
Gucci,Gucci,NA,67,71,NA,66,NA,93,95,NA,94
H. J. Heinz Company,H. J. Heinz Company,51,58,53,36,62,53,73,66,16,90
Haci Omer Sabanci Holding A.S.,Haci Omer Sabanci Holding A.S.,58,65,54,62,49,80,90,67,75,38
"Hainan Airlines Co., Ltd.","Hainan Airlines Co., Ltd.",58,70,50,60,53,83,96,53,72,66
"Harley-Davidson, Inc.","Harley-Davidson, Inc.",54,54,48,61,53,67,62,48,73,66
"Hasbro, Inc.","Hasbro, Inc.",65,67,65,69,59,98,93,90,89,87
HCA Inc,HCA Inc,52,54,49,54,52,57,61,49,57,60
HDFC Bank Ltd.,HDFC Bank Ltd.,56,54,64,51,51,63,51,51,49,51
Heineken NV,Heineken NV,62,66,57,70,54,93,91,76,90,70
HENKEL KGAA,HENKEL KGAA,67,71,63,76,55,99,97,87,98,76
Hennes & Mauritz,Hennes & Mauritz,63,64,55,75,55,94,88,72,96,75
Hewlett Packard Enterprise Co,Hewlett Packard Enterprise Co,63,62,56,73,58,94,85,73,95,84
HILTON WORLDWIDE HOLDINGS INC.,HILTON WORLDWIDE HOLDINGS INC.,61,66,62,63,54,91,91,86,77,70
Hobby Lobby,Hobby Lobby,NA,29,45,31,42,NA,34,11,17,16
"Hologic, Inc.","Hologic, Inc.",53,55,53,54,50,60,64,66,55,46
"Home Depot, Inc.","Home Depot, Inc.",59,58,57,67,54,86,73,75,86,70
Honda Motor Company Limited,Honda Motor Company Limited,60,64,54,69,51,88,89,68,89,51
Hormel Foods Corporation,Hormel Foods Corporation,60,64,59,60,59,89,88,82,71,86
Huawei Technologies,Huawei Technologies,49,51,52,46,46,37,50,63,35,28
Humana Inc.,Humana Inc.,61,60,57,69,56,91,79,77,89,78
Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,58,55,58,59,58,81,66,79,70,85
Huntsman International LLC,Huntsman International LLC,57,58,57,58,56,79,73,75,66,80
Hyundai Mobis,Hyundai Mobis,64,65,58,74,56,96,90,80,95,79
Hyundai Motor Co.,Hyundai Motor Co.,60,60,58,66,53,87,81,78,84,66
"HZ HIK-VISION DIGITAL TECH. CO.,LTD.","HZ HIK-VISION DIGITAL TECH. CO.,LTD.",53,53,48,63,48,63,59,48,79,37
Iberdrola Renovables S.A.,Iberdrola Renovables S.A.,NA,36,66,24,42,NA,16,91,18,16
ICICI Bank Ltd,ICICI Bank Ltd,52,53,42,67,44,57,56,22,86,21
IKEA Group,IKEA Group,67,67,74,62,66,99,93,97,77,94
Indian Bank Ltd.,Indian Bank Ltd.,NA,54,44,55,53,NA,61,32,57,68
Inditex SA,Inditex SA,65,68,59,77,54,98,94,81,98,70
IndusInd Bank Limited,IndusInd Bank Limited,54,51,49,61,52,64,49,49,74,58
Infosys Technologies,Infosys Technologies,62,64,54,77,49,92,88,68,98,42
"INNER MONGOLIA YILI INDUSTRIAL GROUP CO., LTD.","INNER MONGOLIA YILI INDUSTRIAL GROUP CO., LTD.",57,62,53,58,54,77,84,65,67,70
Intel Corporation,Intel Corporation,64,64,60,70,59,96,88,84,91,86
Intercontinental Hotels Group,Intercontinental Hotels Group,59,62,59,64,52,86,84,82,81,62
International Business Machines Corporation (IBM),International Business Machines Corporation (IBM),60,62,61,67,50,89,84,85,85,48
Interpublic Group of Companies,Interpublic Group of Companies,56,55,56,60,54,76,64,74,70,73
Intesa Sanpaolo,Intesa Sanpaolo,63,68,61,71,52,95,94,84,92,62
Intuit Inc.,Intuit Inc.,63,61,57,73,58,94,83,76,95,84
Invesco Ltd.,Invesco Ltd.,54,53,50,61,50,65,56,55,73,48
ITC Holdings Corp,ITC Holdings Corp,50,44,47,60,48,47,32,44,71,37
J.M. Smucker Co.,J.M. Smucker Co.,56,59,56,56,52,73,78,74,60,58
Jacobs Douwe Egberts BV,Jacobs Douwe Egberts BV,NA,56,58,NA,54,NA,68,79,NA,71
"JAND, Inc.","JAND, Inc.",66,68,68,51,78,98,94,93,48,94
Japan Airlines,Japan Airlines,56,59,50,63,50,74,77,53,78,46
Johnson & Johnson,Johnson & Johnson,66,64,65,77,56,98,88,90,98,78
JSC HALYK BANK,JSC HALYK BANK,NA,42,44,48,30,NA,28,29,39,28
JSW Steel Limited,JSW Steel Limited,56,62,49,59,52,73,84,49,68,62
JUUL Labs Inc,JUUL Labs Inc,NA,NA,80,NA,48,NA,NA,99,NA,35
KB Financial Group Inc.,KB Financial Group Inc.,61,64,55,69,56,92,88,70,89,80
Kering Group,Kering Group,67,70,64,77,54,99,96,89,98,71
Kia Motors Corporation,Kia Motors Corporation,59,60,48,71,53,84,79,48,92,64
Kimberly-Clark Corporation,Kimberly-Clark Corporation,61,65,63,61,54,90,90,88,74,70
KLA Corp,KLA Corp,58,57,55,65,52,80,71,70,83,62
KOC Holding A.S.,KOC Holding A.S.,60,65,59,63,53,88,91,81,77,68
"Koch Industries, Inc.","Koch Industries, Inc.",36,23,58,24,40,79,14,10,NA,NA
Kohl's Corporation,Kohl's Corporation,56,54,52,62,53,73,62,61,76,68
Koninklijke DSM,Koninklijke DSM,62,65,59,68,54,92,90,81,88,73
Koninklijke Philips Electronics Na,Koninklijke Philips Electronics Na,65,66,60,76,55,97,91,84,97,76
Kotak Mahindra Bank Ltd,Kotak Mahindra Bank Ltd,55,58,55,56,51,70,75,71,61,53
"Krispy Kreme Doughnuts, Inc.","Krispy Kreme Doughnuts, Inc.",NA,18,47,NA,41,NA,43,NA,16,NA
Kroger Co.,Kroger Co.,60,58,61,67,54,89,75,85,85,73
KUBOTA CORPORATION,KUBOTA CORPORATION,63,65,56,76,53,95,90,73,97,68
Kuwait Finance House KSC,Kuwait Finance House KSC,56,54,64,51,51,63,51,51,49,51
L Brands,L Brands,55,56,52,61,50,70,67,61,73,44
"L.L. Bean, Inc.","L.L. Bean, Inc.",NA,41,68,NA,56,NA,25,93,NA,79
Land O'Lakes,Land O'Lakes,48,48,73,19,59,34,41,96,86,41
LEGO,LEGO,NA,74,75,79,76,NA,98,97,99,99
Leonardo S.p.A,Leonardo S.p.A,60,60,58,71,50,89,80,79,92,46
Levi Strauss & Co.,Levi Strauss & Co.,62,63,58,72,54,93,87,78,94,71
LG Electronics Inc.,LG Electronics Inc.,63,69,56,74,52,95,95,73,96,62
"Liberbank, S.A.","Liberbank, S.A.",NA,40,53,30,43,NA,24,64,10,19
Liberty Mutual Group,Liberty Mutual Group,49,43,66,40,48,38,29,91,22,34
"LIC CO.,LTD.","LIC CO.,LTD.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lidl Dienstleistung GmbH & Co KG (Lidl),Lidl Dienstleistung GmbH & Co KG (Lidl),53,53,59,48,53,59,56,80,39,64
LINDE PUBLIC LIMITED COMPANY,LINDE PUBLIC LIMITED COMPANY,61,64,63,63,55,91,88,88,78,76
LinkedIn Corp.,LinkedIn Corp.,63,54,74,62,64,96,60,97,77,92
Lloyds TSB Group Plc,Lloyds TSB Group Plc,63,63,59,75,54,95,87,80,96,73
Lockheed Martin Corporation,Lockheed Martin Corporation,62,61,61,67,60,94,81,84,86,88
L'Oreal,L'Oreal,71,73,69,82,59,98,94,86,98,99
"Lotte Shopping Co., Ltd.","Lotte Shopping Co., Ltd.",53,55,47,62,48,62,63,43,76,35
"Lowe's Companies, Inc.","Lowe's Companies, Inc.",60,62,56,65,56,88,84,73,82,80
Lukoil Holdings,Lukoil Holdings,51,50,48,54,53,52,46,45,55,66
LVMH,LVMH,62,63,60,71,53,93,86,82,92,68
Lyft Inc,Lyft Inc,55,53,50,64,51,70,56,53,79,55
Macquarie Group,Macquarie Group,58,58,55,66,52,82,75,72,85,62
"Macy's, Inc.","Macy's, Inc.",58,58,57,59,57,81,73,76,68,82
Magazine Luiza S.A.,Magazine Luiza S.A.,53,57,49,58,49,62,70,50,66,42
Mahindra & Mahindra Ltd,Mahindra & Mahindra Ltd,61,66,54,72,51,91,92,67,94,55
MAKITA CORPORATION,MAKITA CORPORATION,52,55,41,62,46,53,63,20,77,26
Malayan Banking Bhd,Malayan Banking Bhd,63,66,62,67,58,96,91,86,87,84
Manulife Financial Corporation,Manulife Financial Corporation,60,57,54,69,58,88,70,68,90,84
Markel Corporation,Markel Corporation,48,48,45,51,48,34,40,36,49,37
Marks and Spencer Group p.l.c.,Marks and Spencer Group p.l.c.,64,67,57,76,55,97,93,75,97,77
"Marriott International, Inc.","Marriott International, Inc.",56,53,55,63,52,75,56,72,78,62
Marshalls PLC,Marshalls PLC,60,61,55,69,54,89,82,70,89,73
MasterCard Inc.,MasterCard Inc.,63,59,58,74,59,95,76,79,96,86
"Mattel, Inc.","Mattel, Inc.",55,54,53,59,54,71,60,65,68,71
MAZDA MOTOR CORPORATION,MAZDA MOTOR CORPORATION,63,66,59,70,54,94,91,82,91,70
McCain Foods Limited,McCain Foods Limited,NA,60,61,38,41,NA,80,85,19,16
"McCormick & Company, Incorporated","McCormick & Company, Incorporated",56,54,64,51,51,63,51,51,49,51
McDonald's Corporation,McDonald's Corporation,59,58,50,72,52,84,75,53,94,62
McKinsey & Company,McKinsey & Company,68,65,80,66,60,99,90,99,83,88
Mediolanum,Mediolanum,59,60,64,55,60,87,80,89,58,88
Mercadolibre Inc.,Mercadolibre Inc.,55,55,47,62,54,70,63,41,77,70
"MetLife, Inc.","MetLife, Inc.",59,55,56,68,55,85,64,73,87,77
MGM Resorts International,MGM Resorts International,55,54,56,58,51,69,61,74,66,51
Microsoft Corporation,Microsoft Corporation,67,66,63,76,62,99,91,87,98,90
Mitsubishi Corp.,Mitsubishi Corp.,57,60,50,64,53,79,79,53,79,64
Mitsubishi Motors Corp.,Mitsubishi Motors Corp.,55,58,50,65,45,70,75,55,82,25
Morgan Stanley,Morgan Stanley,59,58,57,67,54,86,73,75,86,73
National Australia Bank Limited,National Australia Bank Limited,64,63,59,78,54,97,86,82,98,73
National Bank of Canada,National Bank of Canada,59,57,57,68,54,87,72,76,87,71
National Bank Of Kuwait,National Bank Of Kuwait,52,51,51,55,52,57,50,58,59,58
National Grid plc,National Grid plc,63,65,58,71,56,95,91,79,93,79
National Westminster Bank Plc (NatWest),National Westminster Bank Plc (NatWest),NA,74,72,62,50,NA,98,96,76,48
"Nationwide Financial Services, Inc.","Nationwide Financial Services, Inc.",55,54,74,47,48,71,62,97,36,37
Naver Corporation,Naver Corporation,55,55,47,65,50,69,64,44,82,46
NBC Universal,NBC Universal,NA,NA,62,NA,68,NA,NA,86,NA,96
NEC Corporation,NEC Corporation,64,69,59,76,51,97,95,80,97,55
Nedbank Group Limited,Nedbank Group Limited,61,64,57,72,50,91,88,77,94,48
Neste Oil OYJ,Neste Oil OYJ,62,60,62,66,58,92,79,86,84,84
Nestle,Nestle,64,65,62,70,59,97,91,86,90,86
net mobile AG,net mobile AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netease.com Inc. ADS,Netease.com Inc. ADS,51,56,44,54,49,49,67,29,55,42
"Netflix, Inc.","Netflix, Inc.",48,51,48,51,43,35,50,47,46,20
Newell Rubbermaid Inc.,Newell Rubbermaid Inc.,55,55,47,63,55,72,64,44,79,76
NEXON Co Ltd,NEXON Co Ltd,48,52,41,50,50,35,53,19,44,48
"NIKE, Inc.","NIKE, Inc.",63,64,57,73,57,95,88,75,95,83
NINTENDO CO LTD,NINTENDO CO LTD,56,54,49,68,50,74,60,50,87,44
Nippon Paint,Nippon Paint,53,51,45,62,50,58,52,36,75,46
NIPPON TELEGRAPH AND TELEPHONE CORPORATI,NIPPON TELEGRAPH AND TELEPHONE CORPORATI,64,66,60,76,52,97,91,83,97,58
Nokia Corporation,Nokia Corporation,63,63,60,72,55,95,86,84,94,76
"Nordstrom, Inc.","Nordstrom, Inc.",60,57,56,68,58,89,72,73,87,84
Northrop Grumman Corporation,Northrop Grumman Corporation,64,60,60,73,60,96,81,82,95,88
