,company,overall_rating,community_rating,employee_rating,environment_rating,governance_rating,overall_percentage,community_percentage,employee_percentage,environment_percentage,governance_percentage
Bombardier Inc,Bombardier Inc,56,54,64,51,51,63,51,51,49,51
Square Inc,Square Inc,49,52,49,48,47,39,53,49,39,30
BLOM Bank SAL,BLOM Bank SAL,NA,52,44,48,36,NA,54,30,40,54
BOK Financial Corporaion,BOK Financial Corporaion,56,54,64,51,51,63,51,51,49,51
RAMSAY HEALTH CARE LIMITED,RAMSAY HEALTH CARE LIMITED,58,62,53,65,51,82,84,65,83,51
MITSUI CHEMICALS INCORPORATED,MITSUI CHEMICALS INCORPORATED,60,66,55,64,54,88,92,71,80,70
RTL Group SA,RTL Group SA,56,52,58,59,53,73,55,80,68,68
LG Uplus,LG Uplus,55,55,46,69,47,70,66,37,89,32
Alpha Bank SA,Alpha Bank SA,54,53,56,57,49,65,56,73,65,40
"Xylem, Inc.","Xylem, Inc.",62,63,55,74,53,93,87,71,95,68
IHI Corporaition ,IHI Corporaition ,56,54,64,51,51,63,51,51,49,51
Seazen Group Ltd.,Seazen Group Ltd.,49,51,41,52,51,39,50,19,50,51
Sempra Energy,Sempra Energy,56,54,64,51,51,63,51,51,49,51
"ServiceNow, Inc.","ServiceNow, Inc.",52,52,42,58,53,54,55,21,66,66
Shimano Inc,Shimano Inc,56,54,64,51,51,63,51,51,49,51
Shionogi Limited,Shionogi Limited,60,64,51,70,53,88,88,58,91,64
Shiseido Company Limited,Shiseido Company Limited,65,70,63,70,56,97,96,88,91,79
Siemens AG,Siemens AG,64,64,60,76,54,97,89,82,97,71
"Simon Property Group, Inc.","Simon Property Group, Inc.",56,54,64,51,51,63,51,51,49,51
Sinclair Oil Corporation,Sinclair Oil Corporation,NA,18,52,NA,33,NA,61,NA,NA,NA
SK Energy Company Limited,SK Energy Company Limited,56,54,64,51,51,63,51,51,49,51
Smurfit Kappa Group plc,Smurfit Kappa Group plc,58,61,51,69,51,83,83,58,89,55
Snap Inc,Snap Inc,56,54,64,51,51,63,51,51,49,51
S-Oil Corporation,S-Oil Corporation,56,64,53,60,48,76,89,66,71,34
Sompo Japan Insurance,Sompo Japan Insurance,56,54,64,51,51,63,51,51,49,51
Sony Corporation,Sony Corporation,64,60,58,80,56,97,81,78,99,80
Spectrum,Spectrum,NA,NA,55,NA,31,NA,NA,70,NA,NA
Spirit AeroSystems Holdings Inc.,Spirit AeroSystems Holdings Inc.,47,51,49,42,47,28,49,52,26,30
Spotify Technology SA,Spotify Technology SA,50,43,58,46,54,45,29,79,33,70
"SS&C Technologies Holdings, Inc.","SS&C Technologies Holdings, Inc.",46,49,42,46,47,24,43,24,33,30
Standard Bank Group Ltd.,Standard Bank Group Ltd.,56,54,64,51,51,63,51,51,49,51
Stanley Black & Decker Inc.,Stanley Black & Decker Inc.,58,60,53,65,54,83,81,66,82,71
Starbucks Corporation,Starbucks Corporation,59,58,55,67,55,86,75,71,86,75
State Grid,State Grid,NA,74,68,77,59,NA,98,93,98,86
Stryker,Stryker,55,53,57,58,53,72,57,76,67,68
Svenska Cellulosa B,Svenska Cellulosa B,63,66,63,68,55,95,92,88,88,77
Swiss Prime Site AG,Swiss Prime Site AG,53,55,49,61,47,62,63,49,74,32
Sysmex,Sysmex,66,72,60,78,54,98,97,82,98,73
T&D HOLDINGS INCORPORATED,T&D HOLDINGS INCORPORATED,62,66,57,69,55,93,92,76,89,76
"Tapestry, Inc","Tapestry, Inc",56,57,53,63,51,76,70,64,77,53
Target Corporation,Target Corporation,62,60,60,71,57,94,81,82,92,83
Tata Consultancy Services,Tata Consultancy Services,63,64,56,78,51,95,89,74,98,51
Tata Group,Tata Group,NA,55,67,76,45,NA,63,92,97,25
Tata Motors Limited,Tata Motors Limited,58,59,50,72,50,83,77,54,94,48
TC Energy Corporation,TC Energy Corporation,56,57,52,60,53,73,70,63,72,64
Teleperformance,Teleperformance,59,61,55,65,54,85,82,70,82,70
TELUS Corporation,TELUS Corporation,56,54,64,51,51,63,51,51,49,51
TERNIUM S.A.,TERNIUM S.A.,57,56,62,55,57,80,69,87,59,82
"Tesla Motors, Inc.","Tesla Motors, Inc.",56,54,64,51,51,63,51,51,49,51
Thai Beverage PLC,Thai Beverage PLC,66,76,65,65,58,98,99,91,83,84
The Bank of East Asia,The Bank of East Asia,56,59,54,63,49,76,76,67,79,38
The Bank of Nova Scotia,The Bank of Nova Scotia,56,54,64,51,51,63,51,51,49,51
The Boeing Company,The Boeing Company,57,53,52,69,52,79,57,60,89,58
The Clorox Company,The Clorox Company,56,54,64,51,51,63,51,51,49,51
"The Fresh Market, Inc.","The Fresh Market, Inc.",56,54,64,51,51,63,51,51,49,51
The Goodyear Tire & Rubber Company,The Goodyear Tire & Rubber Company,59,55,58,64,57,84,64,79,80,83
The Hershey Company,The Hershey Company,64,62,63,68,61,96,84,87,88,88
"The Kiyo Bank, Ltd.","The Kiyo Bank, Ltd.",36,42,37,31,35,27,11,11,27,20
The Kraft Heinz Company,The Kraft Heinz Company,52,52,52,57,48,58,54,61,63,35
The ODP Corporation,The ODP Corporation,54,54,54,58,49,65,61,67,66,38
"The Toho Bank, Ltd.","The Toho Bank, Ltd.",NA,32,NA,41,34,NA,10,NA,23,10
"The Travelers Companies, Inc.","The Travelers Companies, Inc.",58,53,57,61,58,80,57,75,73,84
The Walt Disney Company,The Walt Disney Company,62,61,59,68,57,92,81,80,88,82
The Western Union Company,The Western Union Company,50,50,49,53,49,47,46,49,53,40
"The Williams Companies, Inc.","The Williams Companies, Inc.",53,55,53,53,52,61,64,64,52,58
TIAA-CREF,TIAA-CREF,67,61,77,73,57,99,83,98,94,81
Tianjin Marine Shipping Co Ltd,Tianjin Marine Shipping Co Ltd,NA,51,NA,36,53,NA,49,NA,16,66
Tokyo Gas Company Limited,Tokyo Gas Company Limited,62,67,58,68,54,93,93,79,88,71
Toppan Printing Company Limited,Toppan Printing Company Limited,61,65,56,72,49,91,91,73,93,42
TOWNGAS CHINA CO. LTD.,TOWNGAS CHINA CO. LTD.,53,52,47,59,51,58,53,44,68,51
Toyota Motor Corp.,Toyota Motor Corp.,60,63,60,68,49,89,86,82,87,38
Toyota Tsusho UK Ltd,Toyota Tsusho UK Ltd,58,59,50,67,54,82,77,55,86,70
Truist Financial Corporation,Truist Financial Corporation,55,56,57,53,54,69,67,75,53,73
Turkish Airlines,Turkish Airlines,NA,NA,52,NA,38,NA,NA,61,NA,11
Turkiye Halk Bankasi AS,Turkiye Halk Bankasi AS,51,52,47,56,49,52,53,44,62,42
Turkiye Vakiflar Bankasi T.A.O.,Turkiye Vakiflar Bankasi T.A.O.,55,54,59,58,50,71,62,82,67,46
Twilio Inc,Twilio Inc,47,48,45,47,48,29,41,36,36,37
"Tyson Foods, Inc.","Tyson Foods, Inc.",51,53,51,50,51,51,56,58,46,53
U.S. Bancorp,U.S. Bancorp,60,57,57,67,58,89,70,77,85,84
UAL Corporation,UAL Corporation,62,58,71,60,61,94,74,95,71,89
Uber,Uber,48,46,45,51,48,32,36,34,46,34
Unicaja,Unicaja,NA,55,66,33,53,NA,63,91,14,64
UniCredito Italiano S.p.A.,UniCredito Italiano S.p.A.,61,60,56,73,52,90,81,74,95,58
"United Parcel Service, Inc.","United Parcel Service, Inc.",60,60,54,69,54,87,79,67,90,70
UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,60,53,55,71,59,89,56,72,92,86
UNUM Group,UNUM Group,57,56,53,61,59,80,67,66,74,87
Vale,Vale,54,55,52,61,47,65,64,61,73,31
Valeo SA,Valeo SA,67,69,59,79,57,99,95,82,99,83
"Ventas, Inc.","Ventas, Inc.",60,59,54,69,58,90,78,68,89,85
Verisk Analytics Inc.,Verisk Analytics Inc.,59,61,56,64,54,85,81,73,81,71
Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals Incorporated,52,57,54,49,50,57,70,69,42,44
ViacomCBS Inc.,ViacomCBS Inc.,52,53,52,54,49,56,59,61,57,42
Vingroup Joint Stock Company,Vingroup Joint Stock Company,NA,55,37,60,44,NA,63,11,70,21
"VMware, Inc.","VMware, Inc.",62,61,56,73,57,94,82,74,94,82
Walgreen Co.,Walgreen Co.,60,55,56,68,58,87,64,73,88,84
"Wal-Mart Stores, Inc.","Wal-Mart Stores, Inc.",57,55,54,66,52,79,64,68,84,60
Waste Connections Inc.,Waste Connections Inc.,48,48,46,49,50,35,40,40,42,48
Weatherford International Ltd.,Weatherford International Ltd.,54,46,54,59,55,65,37,67,68,77
WESFARMERS LIMITED,WESFARMERS LIMITED,62,66,57,67,56,92,91,75,85,79
Wheelock And Company Limited,Wheelock And Company Limited,51,49,46,60,48,51,45,37,70,37
Wolters Kluwer,Wolters Kluwer,63,67,56,74,53,95,93,73,95,66
"Workday, Inc.","Workday, Inc.",58,59,56,64,53,83,77,73,80,68
X5 Retail Group NV,X5 Retail Group NV,53,54,53,54,52,62,62,65,55,60
Xerox Corporation,Xerox Corporation,64,66,63,70,58,97,91,88,90,84
"XPO Logistics, Inc.","XPO Logistics, Inc.",50,50,46,54,51,47,48,40,55,55
"Yango Group Co., Ltd.","Yango Group Co., Ltd.",52,59,43,56,51,57,78,28,62,51
Yara International ASA,Yara International ASA,60,63,61,61,56,89,86,84,73,79
Zain Group,Zain Group,62,70,70,53,59,94,96,95,52,87
Zimmer Biomet,Zimmer Biomet,53,48,61,49,53,58,42,85,41,68
Zoetis Inc.,Zoetis Inc.,53,56,50,53,52,59,68,55,52,58
