company,environment_rating,username
FedEx Corporation,66,fedex
Liberty Mutual Group,40,libertymutual
The Goodyear Tire & Rubber Company,64,goodyear
GameStop Corp.,57,gamestop
"D.R. Horton, Inc.",46,drhorton
American Airlines,57,americanair
"Whole Foods Market, Inc.",53,wholefoods
Bed Bath & Beyond,60,bedbathandbeyond
Amgen Inc.,68,amgenbiotech
"Tyson Foods, Inc.",50,tysonfoods
"NIKE, Inc.",73,nike
J.M. Smucker Co.,56,smuckersbrand
Ford Motor Company,65,ford
DTE Energy Company,60,dte_energy_official
General Motors Corporation (GM),67,generalmotors
International Business Machines Corporation (IBM),67,ibm
MasterCard Inc.,74,mastercard
"PepsiCo, Inc.",63,pepsico
"Dell, Inc.",73,dell
Kohl's Corporation,62,kohls
Johnson & Johnson,77,jnj
AbbVie,68,abbvie
Comcast Corporation,65,comcast
Procter & Gamble Company,67,proctergamble
Ameriprise Financial Inc.,59,ameriprisefinancial
