company,environment_rating,environment_percentage,Country,Sales,Profits,Assets,Market Value,posts_per_year,is_video,is_sponsored,caption,video_view_count,likes,comments,caption_num_words,caption_unique_words,mention_counts,hashtag_counts,emoji_counts,mentions_eco,mentions_eco-friendly,mentions_green,mentions_organic,mentions_clean,mentions_sustainable,mentions_sustainability,mentions_carbon,mentions_emissions,hashtags_eco,hashtags_eco-friendly,hashtags_green,hashtags_organic,hashtags_clean,hashtags_sustainable,hashtags_sustainability,hashtags_carbon,hashtags_emissions,caption_eco,caption_eco-friendly,caption_green,caption_organic,caption_clean,caption_sustainable,caption_sustainability,caption_carbon,caption_emissions,likely_automated,has_location,is_video_0,is_video_1,is_sponsored_0,is_sponsored_1,video_length_0,video_length_1,likes_0,likes_1,comments_0,comments_1,caption_num_words_0,caption_num_words_1,caption_unique_words_0,caption_unique_words_1,mention_counts_0,mention_counts_1,hashtag_counts_0,hashtag_counts_1,emoji_counts_0,emoji_counts_1,is_video_green_diff,is_sponsored_green_diff,video_length_green_diff,likes_green_diff,comments_green_diff,caption_num_words_green_diff,caption_unique_words_green_diff,mention_counts_green_diff,hashtag_counts_green_diff,emoji_counts_green_diff,posts_per_day,captions_per_year
Dominion Energy,63,78,United States,164.26,13.58,1038.23,646.35,131,0.458015267,0,131,850.8625954,123.129771,3.900763359,44.52671756,38.16793893,1.015267176,1.34351145,0.847328244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022900763,0,0,0,0,0.053435115,0,0.030534351,0,0.244274809,0.106870229,0,0.022900763,0.106870229,0,0.091603053,0.471910112,0.428571429,0,0,18.16807865,11.6337381,136.9550562,93.83333333,4.595505618,2.428571429,45.8988764,41.61904762,39.06741573,36.26190476,1.02247191,1,1.359550562,1.30952381,0.685393258,1.19047619,-0.043338684,0,-6.534340556,-43.12172285,-2.166934189,-4.279828785,-2.805510968,-0.02247191,-0.050026752,0.505082932,0.386430678,1
Domino's Pizza,46,33,United States,36.56,4.297,13.9,141.59,156,0.121794872,0,156,2576.467949,10422.28205,429.9487179,22.71153846,20.40384615,1.032051282,1.012820513,0.858974359,0.012820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012820513,0,0,0,0.006410256,0,0,0,0,0.019230769,0,0.119205298,0.2,0,0,2.246205298,3,10465.89404,9105.2,434.7748344,284.2,22.39735099,32.2,20.25165563,25,1.026490066,1.2,1.013245033,1,0.867549669,0.6,0.080794702,0,0.753794702,-1360.69404,-150.5748344,9.802649007,4.748344371,0.173509934,-0.013245033,-0.267549669,0.460176991,1
Doosan,64,81,South Korea,160.84,-1.508,252.24,5.61,176,0.267045455,0,176,803.6306818,285.3465909,3.517045455,36.04545455,32.36363636,1.102272727,1.965909091,0.261363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005681818,0,0.022727273,0.005681818,0.005681818,0,0.005681818,0,0,0.005681818,0,0.011363636,0,0.251497006,0.555555556,0,0,10.44588024,19.89211111,286.748503,259.3333333,3.574850299,2.444444444,36.03592814,36.22222222,32.31736527,33.22222222,1.107784431,1,1.856287425,4,0.269461078,0.111111111,0.30405855,0,9.446230872,-27.41516966,-1.130405855,0.186294079,0.904856953,-0.107784431,2.143712575,-0.158349967,0.519174041,1
Duke Energy,58,66,United States,250.79,37.48,1635.52,621.43,21,0.380952381,0,21,646.6666667,294.6666667,18.14285714,88.19047619,69.19047619,1.095238095,6.19047619,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0.238095238,0,0,0,0.095238095,0,0,0.142857143,0.095238095,0,0.047619048,0.25,0.555555556,0,0,8.848666667,25.85833333,319.8333333,261.1111111,16.08333333,20.88888889,78.5,101.1111111,61.58333333,79.33333333,1.083333333,1.111111111,6.083333333,6.333333333,0,0.111111111,0.305555556,0,17.00966667,-58.72222222,4.805555556,22.61111111,17.75,0.027777778,0.25,0.111111111,0.061946903,1
E-Trade Financial,46,33,United States,30.77,8.46,678.56,89.76,55,0.381818182,0,55,408.7818182,104.1818182,9.018181818,13.67272727,12.98181818,1,1.018181818,0.054545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054545455,0.018181818,0.036363636,0,0,0,0,0,0,0,0,0.333333333,1,0,0,3.000784314,14.73325,106.9019608,69.5,8.68627451,13.25,13.60784314,14.5,13,12.75,1,1,1.019607843,1,0.058823529,0,0.666666667,0,11.73246569,-37.40196078,4.56372549,0.892156863,-0.25,0,-0.019607843,-0.058823529,0.162241888,1
ENGIE,64,79,France,672.2,11.025,1793.68,261.77,39,0.128205128,0,39,21794.15385,3998.410256,10.15384615,51.02564103,43.92307692,1,4.820512821,0.230769231,0,0,0,0,0,0,0,0,0,0.153846154,0,0.358974359,0,0,0.025641026,0,0.102564103,0,0.333333333,0,0.051282051,0,0.179487179,0.153846154,0.025641026,0.076923077,0.025641026,0.025641026,0,0.176470588,0.090909091,0,0,2.972529412,1.572090909,4574.647059,3553.136364,10.11764706,10.18181818,45.17647059,55.54545455,39.35294118,47.45454545,1,1,4.235294118,5.272727273,0.176470588,0.272727273,-0.085561497,0,-1.400438503,-1021.510695,0.064171123,10.36898396,8.101604278,0,1.037433155,0.096256684,0.115044248,1
Eiffage,71,92,France,209.19,8.115,369.04,80,16,1,0,16,455.375,65.0625,0.5625,36,31.6875,1.125,3.5,0.4375,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.1875,0,0,0,1,1,0,0,26.2485,12.5195,63,71.25,0.5,0.75,34.25,41.25,30.16666667,36.25,1.166666667,1,3.583333333,3.25,0.5,0.25,0,0,-13.729,8.25,0.25,7,6.083333333,-0.166666667,-0.333333333,-0.25,0.04719764,1
Electronic Arts,59,68,United States,53.12,28.3,111.61,330.98,39,0.692307692,0,38,58415.20513,19283.17949,3408.051282,18.12820513,16.69230769,1.025641026,1.025641026,0.078947368,0,0,0,0,0,0,0,0,0,0.051282051,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0.025641026,0.025641026,0.685714286,0.75,0,0,62.08351429,75.1295,20023.05714,12809.25,3225.914286,5001.75,17.62857143,22.5,16.22857143,20.75,1.028571429,1,1.028571429,1,0.058823529,0.25,0.064285714,0,13.04598571,-7213.807143,1775.835714,4.871428571,4.521428571,-0.028571429,-0.028571429,0.191176471,0.115044248,0.974358974
Emaar Properties,49,43,United Arab Emirates,71.27,16.879,318.17,53.21,19,0.315789474,0,19,10578.84211,197.8421053,0.421052632,90.47368421,79.52631579,1,1.105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,1,0.294117647,0.5,0,0,10.30505882,15,220.4117647,6,0.470588235,0,87.88235294,112.5,76.76470588,103,1,1,1.117647059,1,0,0,0.205882353,0,4.694941176,-214.4117647,-0.470588235,24.61764706,26.23529412,0,-0.117647059,0,0.056047198,1
Equinor,63,77,Norway,602.74,17.586,1180.63,463.92,25,0.32,0,25,2472.24,1394.16,22.28,59.04,48.32,1,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0,0.04,0,0,0.08,0.36,0.04,0.04,0.1875,0.555555556,0,0,8.606625,18.70411111,1496.1875,1212.777778,24.4375,18.44444444,59.25,58.66666667,49.25,46.66666667,1,1,1.625,1,0.875,1.222222222,0.368055556,0,10.09748611,-283.4097222,-5.993055556,-0.583333333,-2.583333333,0,-0.625,0.347222222,0.073746313,1
