company,username,esg_company,verified
Commerzbank,commerzbank,Commerzbank AG,Verified
Cartier,cartier,Compagnie Financiere Richemont SA,Verified
CONAGRA FOODS,conagrafoodservice,"ConAgra Foods, Inc.",Verified
Conair,conair,Conair,Verified
ConocoPhillips,conocophillips,ConocoPhillips,Verified
Continental,continental_tire,CONTINENTAL AG,Verified
Copart,copart1982,"Copart, Inc.",Verified
Corona,corona,CORONA CORPORATION,Verified
Corteva,corteva,Corteva Agriscience,Verified
Costco Wholesale,costco,Costco Wholesale Corporation,Verified
ctrip.com,trip,Ctrip.com International Ltd. (ADS),Verified
Cummins,cummins,"Cummins, Inc.",Verified
CVS Health,cvshealth,CVS Caremark Corporation,Verified
D.R. Horton,drhorton,"D.R. Horton, Inc.",Verified
Mercedes-Benz,mercedesbenz,Daimler AG,Verified
Dassault Systemes,dassaultsystemes,Dassault Systemes,Verified
Dell Technologies,dell,Dell Technologies Inc,Verified
Deloitte,deloitte,Deloitte,Verified
Delta Air Lines,delta,"Delta AirLines, Inc.",Verified
Dentsu,dentsuintl,DENTSU INCORPORATED,Verified
Deutsche Bank,deutschebank,Deutsche Bank AG,Verified
DHL,dhl_global,Deutsche Post AG,Verified
DexCom,dexcom,"DexCom, Inc.",Verified
Diageo,diageo,Diageo,Verified
DICK'S SPORTING GOODS,dickssportinggoods,"Dick's Sporting Goods, Inc.",Verified
DILLARD'S,dillards,"Dillard's, Inc.",Verified
DISH Network,dishnetwork,DISH Network Corporation,Verified
Subway,subway,Doctor's Associates Inc (Subway Restaurants),Verified
DocuSign,docusign,DocuSign Inc,Verified
Dole Food,dolesunshine,"Dole Food Co., Inc.",Verified
Dollar Tree,dollartree,"Dollar Tree Stores, Inc.",Verified
Dominion Energy,dominionenergy,"Dominion Resources, Inc.",Verified
Domino's Pizza,dominos,Domino's Pizza LLC,Verified
Doosan,doosanmta,Doosan Corporation,Verified
DP World,dpworld,DP World Limited,Verified
Keurig,keurig,Dr Pepper Snapple Group,Verified
DTE Energy,dte_energy_official,DTE Energy Company,Verified
Duke Energy,duke_energy,Duke Energy Corporation,Verified
Dunkin',dunkin,Dunkin' Brands Group,Verified
E-Trade Financial,etrade_financial,E*TRADE Financial Corp.,Verified
eBay,ebay,eBay Inc.,Verified
Eiffage,eiffagegroupe,Eiffage,Verified
Electronic Arts,ea,Electronic Arts Inc.,Verified
Emaar Properties,emaarproperties,EMAAR PROPERTIES PJSC,Verified
Emirates,emirates,Emirates National Oil Company,Verified
ENGIE,engie,ENGIE,Verified
Enterprise,enterprise,Enterprise Rent-A-Car Company,Verified
Equinor,equinor,EQUINOR ASA,Verified
ESPN,espn,ESPN,Verified
ESTEE LAUDER,esteelauder,Estee Lauder Inc.,Verified
Clinique,clinique,Clinique VI,Verified
Eversource Energy,eversourceenergy,Eversource Energy,Verified
Evonik,evonikofficial,Evonik Industries AG,Verified
Experian,experian,"Experian Group, Ltd",Verified
Express Scripts,expressscriptspharmacy,"Express Scripts, Inc.",Verified
Extra Space Storage,extraspace,Extra Space,Verified
ExxonMobil,exxonmobil,Exxon Mobil Corporation,Verified
F.N.B.,fnbsa,F.N.B. Corporation,Verified
Facebook,facebook,Facebook,Verified
UNIQLO,uniqlo,"Fast Retailing Co, Ltd",Verified
FedEx,fedex,FedEx Corporation,Verified
Ferguson,fergusonshowrooms,Ferguson PLC,Verified
Ferrari,ferrari,Ferrari SpA,Verified
Ferrovial,ferrovial,Ferrovial S.A.,Verified
Fidelity Investments,fidelity,Fidelity Investments,Verified
Fifth Third Bank,fifththirdbank,Fifth Third Bank,Verified
First Republic Bank,firstrepublic,First Republic Bank,Verified
Flex,flexaforeal,FLEX FOODS LIMITED,Verified
Foot Locker,footlocker,"Foot Locker, Inc.",Verified
Ford Motor,ford,Ford Motor Company,Verified
Forever 21,forever21,Forever 21 Inc,Verified
Freddie Mac,freddiemaccorp,Freddie Mac,Verified
GAMESTOP,gamestop,GameStop Corp.,Verified
GAP,gap,Gap Inc.,Verified
Garmin,garmin,Garmin International Inc.,Verified
Geberit,geberit_usa,GEBERIT AG,Verified
GEICO,geico,GEICO,Verified
General Electric,generalelectric,General Electric Company,Verified
General Mills,generalmills,"General Mills, Inc.",Verified
Chevrolet,chevrolet,General Motors Corporation (GM),Verified
General Motors,generalmotors,General Motors Corporation (GM),Verified
Genting,resortsworldgenting,Genting Bhd,Verified
Globe Life,globelifefield,Globe Life Inc,Verified
Google,google,"Google, Inc.",Verified
GUCCI,gucci,Gucci,Verified
KRAFT HEINZ,kraftheinzus,H. J. Heinz Company,Verified
