X,Y,FID,OBJECTID,RANK,INSTAGRAM,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT
-11675426.42,4805319.728,15,15,118,x,ARROW ELECTRONICS,9201 EAST DRY CREEK ROAD,NOT AVAILABLE,CENTENNIAL,CO,80112,ARAPAHOE,18700,23825,39.581553,-104.88214,MANUAL,ON-ENTITY,8005,NOT AVAILABLE,HTTPS://WWW.ARROW.COM/,522.8
-11673791.13,4800503.512,16,16,494,x,CH2M HILL,9191 SOUTH JAMAICA STREET,NOT AVAILABLE,ENGLEWOOD,CO,80112,ARAPAHOE,20000,5236,39.5482,-104.86745,BING MAPS,ADDRESS,8005,NOT AVAILABLE,HTTPS://WWW.CH2M.COM/,15
-11672445.28,4800050.211,17,17,186,dishnetwork,DISH NETWORK,9601 SOUTH MERIDIAN BOULEVARD,NOT AVAILABLE,ENGLEWOOD,CO,80112,ARAPAHOE,16000,15095,39.54506,-104.85536,BING MAPS,ADDRESS,8005,NOT AVAILABLE,HTTPS://WWW.DISH.COM/,1449.9
-11671371.05,4801222.483,18,18,269,x,LIBERTY INTERACTIVE,12300 LIBERTY BOULEVARD,NOT AVAILABLE,ENGLEWOOD,CO,80112,ARAPAHOE,21080,10647,39.55318,-104.84571,BING MAPS,ADDRESS,8005,NOT AVAILABLE,HTTP://WWW.LIBERTYINTERACTIVE.COM/,1235
-11671371.05,4801222.483,19,19,491,x,LIBERTY MEDIA,12300 LIBERTY BOULEVARD,NOT AVAILABLE,ENGLEWOOD,CO,80112,ARAPAHOE,3626,5276,39.55318,-104.84571,BING MAPS,ADDRESS,8005,NOT AVAILABLE,HTTP://WWW.LIBERTYMEDIA.COM/,680
-11671283.11,4800308.619,20,20,478,westernunion,WESTERN UNION,12500 EAST BELFORD AVENUE,NOT AVAILABLE,ENGLEWOOD,CO,80112,ARAPAHOE,10700,5423,39.54685,-104.84492,BING MAPS,ADDRESS,8005,NOT AVAILABLE,HTTPS://WWW.WESTERNUNION.COM/US/EN/HOME.HTML,253.2
-8584136.479,4704475.7,21,21,194,x,AES,4300 WILSON BOULEVARD,NOT AVAILABLE,ARLINGTON,VA,22203,ARLINGTON,19000,14287,38.87985,-77.11261,BING MAPS,ADDRESS,51013,NOT AVAILABLE,HTTP://AES.COM/,-1130
-8579406.514,4706592.304,22,22,415,x,CALATLANTIC GROUP,1100 WILSON BOULEVARD,SUITE 2100,ARLINGTON,VA,22209,ARLINGTON,3055,6477,38.89465,-77.07012,BING MAPS,ADDRESS,51013,NOT AVAILABLE,HTTPS://WWW.CALATLANTICHOMES.COM/,484.7
-9564933.551,4750937.964,23,23,159,cummins,CUMMINS,500 JACKSON STREET,NOT AVAILABLE,COLUMBUS,IN,47201,BARTHOLOMEW,55400,17509,39.20402,-85.92326,BING MAPS,ADDRESS,18005,NOT AVAILABLE,HTTPS://WWW.CUMMINS.COM/,1394
-10488258.6,4350929.943,24,24,1,walmart,WALMART,702 SW 8TH STREET,NOT AVAILABLE,BENTONVILLE,AR,72716,BENTON,2300000,485873,36.36477,-94.21763,BING MAPS,ADDRESS,5007,NOT AVAILABLE,HTTPS://WWW.WALMART.COM/,13643
-10480446.19,4334426.981,25,25,407,x,J.B. HUNT TRANSPORT SERVICES,615 J.B. HUNT CORPORATE DRIVE,NOT AVAILABLE,LOWELL,AR,72745,BENTON,22190,6556,36.2453,-94.14745,BING MAPS,ADDRESS,5007,NOT AVAILABLE,HTTPS://WWW.JBHUNT.COM/,432.1
-8251802.158,4997243.509,26,26,397,x,SEALED AIR,200 RIVERFRONT BOULEVARD,NOT AVAILABLE,ELMWOOD PARK,NJ,7407,BERGEN,23000,6778,40.89756,-74.1272,BING MAPS,ADDRESS,34003,NOT AVAILABLE,HTTPS://SEALEDAIR.COM/,486.4
-8260754.471,5014721.126,27,27,225,x,BECTON DICKINSON,1 BECTON DRIVE,NOT AVAILABLE,FRANKLIN LAKES,NJ,7417,BERGEN,50928,12483,41.01613,-74.20762,BING MAPS,ADDRESS,34003,NOT AVAILABLE,HTTP://WWW.BD.COM/,976
-8256650.122,5023327.755,28,28,384,x,ASCENA RETAIL GROUP,933 MACARTHUR BOULEVARD,NOT AVAILABLE,MAHWAH,NJ,7430,BERGEN,41000,6995,41.07444,-74.17075,BING MAPS,ADDRESS,34003,NOT AVAILABLE,HTTP://ASCENARETAIL.COM/,-11.9
-8238373.688,4993771.475,29,29,205,x,COGNIZANT TECHNOLOGY SOLUTIONS,500 FRANK W BURR BOULEVARD,NOT AVAILABLE,TEANECK,NJ,7666,BERGEN,260200,13487,40.87398,-74.00657,BING MAPS,ADDRESS,34003,NOT AVAILABLE,HTTPS://WWW.COGNIZANT.COM/,1553
-9622569.217,5183343.136,30,30,137,whirlpoolusa,WHIRLPOOL,2000 NORTH M-63,NOT AVAILABLE,BENTON HARBOR,MI,49022,BERRIEN,93000,20718,42.14912,-86.44101,BING MAPS,ADDRESS,26021,NOT AVAILABLE,HTTPS://WWW.WHIRLPOOL.COM/,888
-10962675.55,3438473.164,31,31,426,x,IHEARTMEDIA,200 EAST BASSE ROAD,SUITE 100,SAN ANTONIO,TX,78209,BEXAR,18700,6274,29.49244,-98.47939,BING MAPS,ADDRESS,48029,NOT AVAILABLE,HTTPS://WWW.IHEARTMEDIA.COM/,-296.3
-10956215.68,3455364.854,32,32,307,x,CST BRANDS,19500 BULVERDE ROAD,SUITE 200,SAN ANTONIO,TX,78259,BEXAR,12380,9061,29.624432,-98.42136,MANUAL,ON-ENTITY,48029,"ON JUNE 28, 2017 CST BRANDS WAS ACQUIRED BY ALIMENTATION COUCHE-TARD.",HTTP://CORPO.COUCHE-TARD.COM/EN/,324
-10976769.71,3450852.595,33,33,37,valeroenergy,VALERO ENERGY,1 VALERO WAY,NOT AVAILABLE,SAN ANTONIO,TX,78249,BEXAR,9996,70166,29.58919,-98.606,BING MAPS,ADDRESS,48029,NOT AVAILABLE,HTTPS://WWW.VALERO.COM/EN-US,2289
-10960451.39,3454297.912,34,34,117,x,ANDEAVOR,19100 RIDGEWOOD PARKWAY,NOT AVAILABLE,SAN ANTONIO,TX,78259,BEXAR,6308,24005,29.6161,-98.45941,BING MAPS,ADDRESS,48029,NOT AVAILABLE,HTTP://WWW.ANDEAVOR.COM/,734
-10973096.17,3443859.8,35,35,102,usaa,USAA,9800 FREDERICKSBURG ROAD,NOT AVAILABLE,SAN ANTONIO,TX,78288,BEXAR,29943,27131,29.53455,-98.573,BING MAPS,ADDRESS,48029,NOT AVAILABLE,HTTPS://WWW.USAA.COM/,1779.1
-8976622.287,3260489.515,36,36,363,x,HARRIS,1025 WEST NASA BOULEVARD,NOT AVAILABLE,MELBOURNE,FL,32919,BREVARD,21000,7527,28.0913,-80.63837,BING MAPS,ADDRESS,12009,NOT AVAILABLE,HTTPS://WWW.HARRIS.COM/,324
-11699589.43,4853121.951,37,37,306,x,BALL,10 LONGS PEAK DRIVE,NOT AVAILABLE,BROOMFIELD,CO,80021,BROOMFIELD,18450,9061,39.91172,-105.0992,BING MAPS,ADDRESS,8014,NOT AVAILABLE,HTTP://WWW.BALL.COM/REGION-SELECTION,263
-11704606.6,4854410.787,38,38,336,x,LEVEL 3 COMMUNICATIONS,1025 ELDORADO BOULEVARD,NOT AVAILABLE,BROOMFIELD,CO,80021,BROOMFIELD,12600,8172,39.9206,-105.14427,BING MAPS,ADDRESS,8014,NOT AVAILABLE,HTTP://WWW.LEVEL3.COM/EN/,677
-8921610.421,3013953.544,39,39,129,x,AUTONATION,200 SW 1ST AVENUE,NOT AVAILABLE,FORT LAUDERDALE,FL,33301,BROWARD,26000,21609,26.12002,-80.14419,BING MAPS,ADDRESS,12011,NOT AVAILABLE,HTTPS://WWW.AUTONATION.COM/,430.5
-8327541.713,4879342.316,40,40,463,burlingtondeals,BURLINGTON STORES,2006 ROUTH 130,NOT AVAILABLE,BURLINGTON,NJ,8016,BURLINGTON,40000,5591,40.09215,-74.80758,BING MAPS,ADDRESS,34005,NOT AVAILABLE,HTTPS://WWW.BURLINGTON.COM/,215.9
-9409085.15,4765919.539,41,41,476,x,CINCINNATI FINANCIAL,6200 SOUTH GILMORE ROAD,NOT AVAILABLE,FAIRFIELD,OH,45014,BUTLER,4754,5449,39.30823,-84.52325,BING MAPS,ADDRESS,39017,NOT AVAILABLE,HTTPS://WWW.CINFIN.COM/,590.7
-9398473.063,4768716.765,42,42,441,x,AK STEEL HOLDING,9227 CENTRE POINT DRIVE,NOT AVAILABLE,WEST CHESTER,OH,45069,BUTLER,8500,5883,39.32767,-84.42792,BING MAPS,ADDRESS,39017,NOT AVAILABLE,HTTP://WWW.AKSTEEL.COM/,-7.8
-9487740.163,5213899.238,43,43,216,kelloggsus,KELLOGG,1 KELLOGG SQUARE,NOT AVAILABLE,BATTLE CREEK,MI,49017,CALHOUN,37369,13014,42.3523,-85.22982,BING MAPS,ADDRESS,26025,NOT AVAILABLE,HTTPS://WWW.KELLOGGS.COM/EN_US/HOME.HTML,694
-8360914.183,4857542.137,44,44,339,campbellsoupco,CAMPBELL SOUP,1 CAMPBELL PLACE,NOT AVAILABLE,CAMDEN,NJ,8103,CAMDEN,16500,7961,39.94217,-75.10737,BING MAPS,ADDRESS,34007,NOT AVAILABLE,HTTPS://WWW.CAMPBELLS.COM/CAMPBELL-SOUP/,563
-8487163.844,4407071.045,45,45,136,dollartree,DOLLAR TREE,500 VOLVO PARKWAY,NOT AVAILABLE,CHESAPEAKE,VA,23320,CHESAPEAKE (CITY),116050,20719,36.76982,-76.24149,BING MAPS,ADDRESS,51550,NOT AVAILABLE,HTTPS://WWW.DOLLARTREE.COM/,896.2
-8428175.646,4843745.182,46,46,454,x,GENESIS HEALTHCARE,101 EAST STATE STREET,NOT AVAILABLE,KENNETT SQUARE,PA,19348,CHESTER,82000,5733,39.84708,-75.71159,BING MAPS,ADDRESS,42029,NOT AVAILABLE,HTTP://WWW.GENESISHCC.COM/,-64
-12820822.72,4317418.639,47,47,249,x,LAS VEGAS SANDS,3355 LAS VEGAS BOULEVARD SOUTH,NOT AVAILABLE,LAS VEGAS,NV,89109,CLARK,49000,11410,36.12198,-115.17141,BING MAPS,ADDRESS,32003,NOT AVAILABLE,HTTPS://WWW.SANDS.COM/,1670
-12821438.31,4316047.497,48,48,297,x,MGM RESORTS INTERNATIONAL,3600 LAS VEGAS BOULEVARD SOUTH,NOT AVAILABLE,LAS VEGAS,NV,89109,CLARK,66500,9455,36.11203,-115.17694,BING MAPS,ADDRESS,32003,NOT AVAILABLE,HTTPS://WWW.MGMRESORTS.COM/EN.HTML,1101.4
-9403126.218,4014739.954,49,49,180,genuineparts,GENUINE PARTS,2999 CIRCLE 75 PARKWAY,NOT AVAILABLE,ATLANTA,GA,30339,COBB,40000,15340,33.89521,-84.46972,BING MAPS,ADDRESS,13067,NOT AVAILABLE,HTTPS://WWW.GENPT.COM/,687.2
